epoch,test_loss,test_acc,test_precision,test_recall,test_f1,test_auc,optimal_threshold
0,0.94700676,0.0960524124146355,0.0960524124146355,1.0,0.17526974317410465,0.5000083793201564,0.45
1,0.9330972,0.0960524124146355,0.0960524124146355,1.0,0.17526974317410465,0.5000915977758077,0.45
2,0.9190729,0.14869154035496826,0.09603296376955059,0.9346098265895953,0.17416965888689406,0.49995252100735293,0.45
3,0.9054128,0.3830390687172654,0.0959568771846716,0.6439788053949904,0.16702585533754366,0.5000432274631702,0.45
4,0.89317054,0.6253285029518998,0.09596559382191716,0.3444845857418112,0.15011308596107323,0.5000148316127188,0.45
5,0.88213027,0.731254511132086,0.09515700417593145,0.21129576107899808,0.13121938451183487,0.5004839349478533,0.45
6,0.87241477,0.896563211370829,0.09285714285714286,0.008766859344894027,0.01602112676056338,0.5004881372283642,0.45
7,0.8640654,0.9038249773286695,0.06557377049180328,9.633911368015414e-05,0.00019239556528222025,0.4992585554305138,0.45
8,0.85721636,0.9039475875853645,0.0,0.0,0.0,0.498797320619314,0.45
9,0.8514259,0.9039475875853645,0.0,0.0,0.0,0.49914121702619624,0.45
10,0.84648985,0.9039475875853645,0.0,0.0,0.0,0.4978154838339721,0.45
